Date,Illnesses
01/06/2012,12
01/12/2012,2
01/12/2012,7
01/12/2012,5
01/12/2012,7
01/12/2012,12
01/10/2012,7
01/12/2012,26
01/12/2012,10
01/12/2012,5
01/12/2012,4
01/11/2012,7
01/12/2012,23
01/08/2012,21
01/12/2012,19
01/08/2012,4
01/12/2012,7
01/12/2012,143
01/12/2012,14
01/11/2012,282
01/12/2012,71
01/12/2012,14
01/12/2012,4
01/12/2012,3
01/12/2012,4
01/12/2012,28
01/08/2012,3
01/11/2012,9
01/11/2012,3
01/01/2013,36
01/10/2012,7
01/10/2012,7
01/01/2013,33
01/01/2013,5
01/12/2012,31
01/10/2012,5
01/10/2012,2
01/11/2012,17
01/10/2012,3
01/11/2012,6
01/01/2013,3
01/11/2012,6
01/01/2013,3
01/12/2012,3
01/11/2012,4
01/11/2012,2
01/04/2012,2
01/05/2012,3
01/10/2012,3
01/05/2012,2
01/08/2012,5
01/10/2012,2
01/10/2012,3
01/01/2013,10
01/09/2012,5
01/12/2012,3
01/11/2012,7
01/11/2012,7
01/03/2011,12
01/01/2013,8
01/10/2012,3
01/07/2012,2
01/04/2012,7
01/01/2013,10
01/10/2012,4
01/12/2012,21
01/01/2013,22
01/01/2013,14
01/04/2012,12
01/01/2013,50
01/01/2013,4
01/01/2013,10
01/01/2013,12
01/01/2013,3
01/01/2013,6
01/01/2013,22
01/12/2012,3
01/12/2012,3
01/01/2012,7
01/12/2012,28
01/12/2011,24
01/02/2012,9
01/01/2012,5
01/06/2012,25
01/07/2012,14
01/03/2012,3
01/06/2012,62
01/01/2013,5
01/01/2013,8
01/09/2012,4
01/10/2012,25
01/11/2012,18
01/07/2012,10
01/01/2013,4
01/10/2012,2
01/02/2013,4
01/01/2013,15
01/12/2012,2
01/02/2013,2
01/12/2012,5
01/10/2012,8
01/10/2012,17
01/01/2012,33
01/01/2013,6
01/12/2012,9
01/09/2012,32
01/02/2013,30
01/02/2013,9
01/02/2013,52
01/11/2012,22
01/11/2012,12
01/01/2013,5
01/01/2013,19
01/06/2012,2
01/02/2013,5
01/10/2012,43
01/12/2012,3
01/02/2013,2
01/12/2012,4
01/02/2013,66
01/02/2013,3
01/02/2013,18
01/02/2013,23
01/02/2013,2
01/02/2013,2
01/02/2013,8
01/02/2013,3
01/12/2012,17
01/02/2013,6
01/02/2013,23
01/02/2013,11
01/10/2012,17
01/02/2013,2
01/02/2013,2
01/02/2013,25
01/12/2012,16
01/11/2012,5
01/11/2012,12
01/10/2012,8
01/11/2012,3
01/11/2012,8
01/12/2012,4
01/11/2012,5
01/06/2012,31
01/08/2012,11
01/02/2013,2
01/11/2012,25
01/02/2013,4
01/11/2012,8
01/02/2013,55
01/01/2013,2
01/02/2013,8
01/02/2013,7
01/02/2013,12
01/11/2012,15
01/12/2012,10
01/08/2012,12
01/02/2013,25
01/11/2012,3
01/02/2013,21
01/11/2012,3
01/12/2012,35
01/12/2012,7
01/07/2012,29
